category,university
私立,関西医療大学
私立,関西外国語大学
私立,関西福祉科学大学
私立,近畿大学
私立,滋慶医療科学大学院大学
私立,四條畷学園大学
私立,四天王寺大学
私立,摂南大学
私立,千里金蘭大学
私立,相愛大学
私立,太成学院大学
私立,帝塚山学院大学
私立,常磐会学園大学
私立,梅花女子大学
私立,羽衣国際大学
私立,阪南大学
私立,東大阪大学
私立,プール学院大学
私立,桃山学院大学
私立,森ノ宮医療大学
私立,大和大学
私立,芦屋大学
私立,大手前大学
私立,関西看護医療大学
私立,関西国際大学
私立,関西福祉大学
私立,関西学院大学
私立,姫路大学
私立,甲子園大学
私立,甲南大学
私立,甲南女子大学
私立,神戸医療福祉大学
私立,神戸海星女子学院大学
私立,神戸学院大学
私立,神戸芸術工科大学
私立,神戸国際大学
私立,神戸松蔭女子学院大学
私立,神戸情報大学院大学
私立,神戸女学院大学
私立,神戸女子大学
私立,神戸親和女子大学
私立,神戸常盤大学
私立,神戸薬科大学
私立,神戸山手大学
私立,園田学園女子大学
私立,宝塚大学
私立,宝塚医療大学
私立,姫路獨協大学
私立,兵庫大学
私立,兵庫医科大学
私立,兵庫医療大学
私立,武庫川女子大学
私立,流通科学大学
私立,畿央大学
私立,帝塚山大学
私立,天理医療大学
私立,天理大学
私立,奈良大学
私立,奈良学園大学
私立,高野山大学
私立,鳥取看護大学
私立,岡山学院大学
私立,岡山商科大学
私立,岡山理科大学
私立,川崎医科大学 
私立,川崎医療福祉大学 
私立,環太平洋大学
私立,吉備国際大学
私立,倉敷芸術科学大学
私立,くらしき作陽大学
私立,山陽学園大学
私立,就実大学 
私立,中国学園大学
私立,ノートルダム清心女子大学
私立,美作大学
私立,エリザベト音楽大学
私立,日本赤十字広島看護大学
私立,比治山大学
私立,広島経済大学
私立,広島工業大学
私立,広島国際大学
私立,広島国際学院大学
私立,広島修道大学
私立,広島女学院大学
私立,広島都市学園大学
私立,広島文化学園大学
私立,広島文教女子大学
私立,福山大学
私立,福山平成大学
私立,安田女子大学
私立,宇部フロンティア大学
私立,至誠館大学
私立,東亜大学
私立,徳山大学
私立,梅光学院大学
私立,山口学芸大学
私立,四国大学
私立,徳島文理大学 
私立,四国学院大学
私立,高松大学
私立,聖カタリナ大学
私立,松山大学
私立,松山東雲女子大学
私立,九州栄養福祉大学
私立,九州共立大学
私立,九州国際大学
私立,九州産業大学
私立,九州情報大学
私立,九州女子大学
私立,久留米大学
私立,久留米工業大学
私立,サイバー大学
私立,産業医科大学
私立,純真学園大学
私立,西南学院大学
私立,西南女学院大学
私立,聖マリア学院大学
私立,第一薬科大学
私立,筑紫女学園大学
私立,中村学園大学
私立,西日本工業大学
私立,日本経済大学
私立,日本赤十字九州国際看護大学
私立,福岡大学
私立,福岡医療福祉大学
私立,福岡工業大学
私立,福岡国際大学
私立,福岡歯科大学
私立,福岡女学院大学
私立,福岡女学院看護大学
私立,保健医療経営大学
私立,西九州大学
私立,活水女子大学
私立,長崎ウエスレヤン大学
私立,長崎外国語大学
私立,長崎国際大学
私立,長崎純心大学
